Port,Shipping Line,Serial No.,Container Availability,Container Type,Container Price/Month
Pasir Panjang,Captain,C00001,1,Premium,693
Pasir Panjang,Captain,C00002,0,Standard,595
Pasir Panjang,Captain,C00003,0,Premium,693
Pasir Panjang,Captain,C00004,0,Standard,595
Pasir Panjang,Captain,C00005,0,Standard,595
Pasir Panjang,Captain,C00006,1,Premium,693
Pasir Panjang,Captain,C00007,1,Premium,693
Pasir Panjang,Captain,C00008,0,Premium,693
Pasir Panjang,Captain,C00009,1,Standard,595
Pasir Panjang,Captain,C00010,0,Standard,595
Pasir Panjang,Captain,C00011,1,Standard,595
Pasir Panjang,Captain,C00012,1,Premium,693
Pasir Panjang,Captain,C00013,1,Standard,595
Pasir Panjang,Captain,C00014,1,Standard,595
Pasir Panjang,Captain,C00015,1,Premium,693
Pasir Panjang,Captain,C00016,1,Standard,595
Pasir Panjang,Captain,C00017,0,Standard,595
Pasir Panjang,Captain,C00018,1,Premium,693
Pasir Panjang,Captain,C00019,0,Standard,595
Pasir Panjang,Captain,C00020,1,Premium,693
Pasir Panjang,Captain,C00021,1,Standard,595
Pasir Panjang,Captain,C00022,1,Standard,595
Pasir Panjang,Captain,C00023,0,Premium,693
Pasir Panjang,Captain,C00024,0,Standard,595
Pasir Panjang,Captain,C00025,0,Premium,693
Pasir Panjang,Captain,C00026,1,Standard,595
Pasir Panjang,Captain,C00027,0,Premium,693
Pasir Panjang,Captain,C00028,1,Standard,595
Pasir Panjang,Captain,C00029,0,Premium,693
Pasir Panjang,Captain,C00030,1,Premium,693
Pasir Panjang,Captain,C00031,0,Premium,693
Pasir Panjang,Captain,C00032,0,Premium,693
Pasir Panjang,Captain,C00033,1,Standard,595
Pasir Panjang,Captain,C00034,0,Standard,595
Pasir Panjang,Captain,C00035,1,Standard,595
Pasir Panjang,Captain,C00036,0,Standard,595
Pasir Panjang,Captain,C00037,0,Standard,595
Pasir Panjang,Captain,C00038,1,Premium,693
Pasir Panjang,Captain,C00039,0,Premium,693
Pasir Panjang,Captain,C00040,0,Premium,693
Pasir Panjang,Captain,C00041,0,Standard,595
Pasir Panjang,Captain,C00042,1,Premium,693
Pasir Panjang,Captain,C00043,0,Premium,693
Pasir Panjang,Captain,C00044,1,Premium,693
Pasir Panjang,Captain,C00045,1,Standard,595
Pasir Panjang,Captain,C00046,1,Standard,595
Pasir Panjang,Captain,C00047,1,Standard,595
Pasir Panjang,Captain,C00048,1,Premium,693
Pasir Panjang,Captain,C00049,1,Standard,595
Pasir Panjang,Captain,C00050,1,Standard,595
Pasir Panjang,Captain,C00051,0,Standard,595
Pasir Panjang,Captain,C00052,1,Premium,693
Pasir Panjang,Captain,C00053,0,Standard,595
Pasir Panjang,Captain,C00054,0,Standard,595
Pasir Panjang,Captain,C00055,1,Standard,595
Pasir Panjang,Captain,C00056,1,Standard,595
Pasir Panjang,Captain,C00057,1,Premium,693
Pasir Panjang,Captain,C00058,0,Premium,693
Pasir Panjang,Captain,C00059,0,Premium,693
Pasir Panjang,Captain,C00060,1,Standard,595
Pasir Panjang,Captain,C00061,0,Standard,595
Pasir Panjang,Captain,C00062,0,Standard,595
Pasir Panjang,Captain,C00063,1,Standard,595
Pasir Panjang,Captain,C00064,1,Standard,595
Pasir Panjang,Captain,C00065,0,Standard,595
Pasir Panjang,Captain,C00066,0,Premium,693
Pasir Panjang,Captain,C00067,0,Standard,595
Pasir Panjang,Captain,C00068,0,Premium,693
Sembawang,Captain,C00069,0,Premium,693
Sembawang,Captain,C00070,0,Premium,693
Sembawang,Captain,C00071,1,Standard,595
Sembawang,Captain,C00072,0,Premium,693
Sembawang,Captain,C00073,0,Premium,693
Sembawang,Captain,C00074,1,Premium,693
Sembawang,Captain,C00075,1,Premium,693
Sembawang,Captain,C00076,1,Standard,595
Sembawang,Captain,C00077,1,Premium,693
Sembawang,Captain,C00078,0,Standard,595
Sembawang,Captain,C00079,0,Premium,693
Sembawang,Captain,C00080,0,Premium,693
Sembawang,Captain,C00081,1,Premium,693
Sembawang,Captain,C00082,1,Standard,595
Sembawang,Captain,C00083,1,Premium,693
Sembawang,Captain,C00084,0,Standard,595
Sembawang,Captain,C00085,1,Standard,595
Sembawang,Captain,C00086,0,Standard,595
Sembawang,Captain,C00087,1,Standard,595
Sembawang,Captain,C00088,0,Standard,595
Sembawang,Captain,C00089,0,Standard,595
Sembawang,Captain,C00090,0,Premium,693
Sembawang,Captain,C00091,1,Premium,693
Sembawang,Captain,C00092,1,Standard,595
Sembawang,Captain,C00093,0,Standard,595
Sembawang,Captain,C00094,0,Premium,693
Sembawang,Captain,C00095,0,Premium,693
Sembawang,Captain,C00096,1,Premium,693
Sembawang,Captain,C00097,0,Premium,693
Sembawang,Captain,C00098,1,Premium,693
Sembawang,Captain,C00099,1,Premium,693
Sembawang,Captain,C00100,1,Premium,693
Sembawang,Captain,C00101,0,Premium,693
Sembawang,Captain,C00102,0,Premium,693
Sembawang,Captain,C00103,1,Premium,693
Sembawang,Captain,C00104,1,Standard,595
Sembawang,Captain,C00105,0,Premium,693
Sembawang,Captain,C00106,1,Premium,693
Sembawang,Captain,C00107,1,Premium,693
Sembawang,Captain,C00108,0,Standard,595
Sembawang,Captain,C00109,1,Premium,693
Sembawang,Captain,C00110,1,Premium,693
Sembawang,Captain,C00111,1,Premium,693
Sembawang,Captain,C00112,0,Standard,595
Sembawang,Captain,C00113,0,Premium,693
Sembawang,Captain,C00114,1,Standard,595
Sembawang,Captain,C00115,1,Premium,693
Sembawang,Captain,C00116,1,Premium,693
Sembawang,Captain,C00117,1,Premium,693
Sembawang,Captain,C00118,0,Premium,693
Sembawang,Captain,C00119,0,Premium,693
Sembawang,Captain,C00120,0,Standard,595
Sembawang,Captain,C00121,1,Standard,595
Tuas,Captain,C00122,1,Standard,595
Tuas,Captain,C00123,1,Standard,595
Tuas,Captain,C00124,0,Standard,595
Tuas,Captain,C00125,0,Premium,693
Tuas,Captain,C00126,1,Standard,595
Tuas,Captain,C00127,1,Standard,595
Tuas,Captain,C00128,1,Standard,595
Tuas,Captain,C00129,1,Premium,693
Tuas,Captain,C00130,1,Standard,595
Tuas,Captain,C00131,0,Standard,595
Tuas,Captain,C00132,0,Premium,693
Tuas,Captain,C00133,0,Standard,595
Tuas,Captain,C00134,0,Standard,595
Tuas,Captain,C00135,0,Standard,595
Tuas,Captain,C00136,0,Premium,693
Tuas,Captain,C00137,0,Premium,693
Tuas,Captain,C00138,0,Premium,693
Tuas,Captain,C00139,1,Standard,595
Tuas,Captain,C00140,1,Standard,595
Tuas,Captain,C00141,0,Premium,693
Tuas,Captain,C00142,0,Premium,693
Tuas,Captain,C00143,0,Standard,595
Tuas,Captain,C00144,1,Premium,693
Tuas,Captain,C00145,1,Premium,693
Tuas,Captain,C00146,1,Standard,595
Tuas,Captain,C00147,1,Premium,693
Tuas,Captain,C00148,0,Premium,693
Tuas,Captain,C00149,0,Premium,693
Tuas,Captain,C00150,1,Standard,595
Tuas,Captain,C00151,0,Standard,595
Tuas,Captain,C00152,1,Premium,693
Tuas,Captain,C00153,1,Standard,595
Tuas,Captain,C00154,0,Premium,693
Tuas,Captain,C00155,0,Premium,693
Tuas,Captain,C00156,1,Standard,595
Tuas,Captain,C00157,1,Standard,595
Tuas,Captain,C00158,0,Premium,693
Tuas,Captain,C00159,0,Standard,595
Tuas,Captain,C00160,1,Premium,693
Tuas,Captain,C00161,0,Standard,595
Tuas,Captain,C00162,1,Standard,595
Tuas,Captain,C00163,0,Standard,595
Tuas,Captain,C00164,0,Standard,595
Tuas,Captain,C00165,0,Premium,693
Tuas,Captain,C00166,0,Premium,693
Tuas,Captain,C00167,0,Standard,595
Tuas,Captain,C00168,0,Premium,693
Tuas,Captain,C00169,0,Premium,693
Tuas,Captain,C00170,0,Premium,693
Tuas,Captain,C00171,0,Premium,693
Tuas,Captain,C00172,1,Standard,595
Tuas,Captain,C00173,0,Standard,595
Tuas,Captain,C00174,0,Premium,693
Tuas,Captain,C00175,1,Standard,595
Tuas,Captain,C00176,0,Premium,693
Tuas,Captain,C00177,1,Standard,595
Tuas,Captain,C00178,0,Premium,693
Tuas,Captain,C00179,0,Premium,693
Tuas,Captain,C00180,1,Premium,693
Tuas,Captain,C00181,1,Premium,693
Tuas,Captain,C00182,0,Standard,595
Tuas,Captain,C00183,1,Premium,693
Tuas,Captain,C00184,1,Premium,693
Tuas,Captain,C00185,0,Standard,595
Tuas,Captain,C00186,0,Premium,693
Tuas,Captain,C00187,1,Premium,693
Tuas,Captain,C00188,1,Standard,595
Tuas,Captain,C00189,0,Standard,595
Tuas,Captain,C00190,0,Standard,595
Tuas,Captain,C00191,1,Standard,595
Tuas,Captain,C00192,0,Standard,595
Tuas,Captain,C00193,0,Premium,693
Tuas,Captain,C00194,1,Premium,693
Pasir Panjang,ESP23,E00001,0,Premium,753
Pasir Panjang,ESP23,E00002,1,Premium,753
Pasir Panjang,ESP23,E00003,1,Premium,753
Pasir Panjang,ESP23,E00004,0,Standard,630
Pasir Panjang,ESP23,E00005,0,Standard,630
Pasir Panjang,ESP23,E00006,0,Standard,630
Pasir Panjang,ESP23,E00007,0,Standard,630
Pasir Panjang,ESP23,E00008,0,Standard,630
Pasir Panjang,ESP23,E00009,1,Standard,630
Pasir Panjang,ESP23,E00010,0,Standard,630
Pasir Panjang,ESP23,E00011,1,Standard,630
Pasir Panjang,ESP23,E00012,1,Standard,630
Pasir Panjang,ESP23,E00013,1,Premium,753
Pasir Panjang,ESP23,E00014,1,Premium,753
Pasir Panjang,ESP23,E00015,0,Premium,753
Pasir Panjang,ESP23,E00016,1,Standard,630
Pasir Panjang,ESP23,E00017,1,Premium,753
Pasir Panjang,ESP23,E00018,1,Premium,753
Pasir Panjang,ESP23,E00019,1,Premium,753
Pasir Panjang,ESP23,E00020,0,Standard,630
Pasir Panjang,ESP23,E00021,1,Premium,753
Pasir Panjang,ESP23,E00022,0,Premium,753
Pasir Panjang,ESP23,E00023,1,Standard,630
Pasir Panjang,ESP23,E00024,1,Premium,753
Pasir Panjang,ESP23,E00025,1,Standard,630
Pasir Panjang,ESP23,E00026,0,Standard,630
Pasir Panjang,ESP23,E00027,1,Premium,753
Pasir Panjang,ESP23,E00028,0,Standard,630
Pasir Panjang,ESP23,E00029,1,Premium,753
Pasir Panjang,ESP23,E00030,0,Standard,630
Pasir Panjang,ESP23,E00031,1,Premium,753
Pasir Panjang,ESP23,E00032,1,Premium,753
Pasir Panjang,ESP23,E00033,0,Standard,630
Pasir Panjang,ESP23,E00034,0,Standard,630
Pasir Panjang,ESP23,E00035,1,Premium,753
Pasir Panjang,ESP23,E00036,1,Premium,753
Pasir Panjang,ESP23,E00037,1,Premium,753
Pasir Panjang,ESP23,E00038,1,Premium,753
Pasir Panjang,ESP23,E00039,0,Standard,630
Pasir Panjang,ESP23,E00040,0,Premium,753
Pasir Panjang,ESP23,E00041,0,Premium,753
Pasir Panjang,ESP23,E00042,1,Premium,753
Pasir Panjang,ESP23,E00043,0,Standard,630
Pasir Panjang,ESP23,E00044,0,Premium,753
Pasir Panjang,ESP23,E00045,0,Standard,630
Pasir Panjang,ESP23,E00046,1,Standard,630
Pasir Panjang,ESP23,E00047,0,Premium,753
Pasir Panjang,ESP23,E00048,0,Standard,630
Pasir Panjang,ESP23,E00049,0,Standard,630
